SKU,Title,ShortDescription,LongDescription,Price,Stock,Category_ID,Brand,Weight,Height,Width,Length,Condition,Warranty,Photos,Attributes
4-2,Combo Médio - 50 Capas Capa Samsung A14 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
4-3,Combo Grande - 500 Capas Capa Samsung A14 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
5,Combo Pequeno - 5 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
5-2,Combo Médio - 50 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
5-3,Combo Grande - 500 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
6,Combo Pequeno - 5 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
6-2,Combo Médio - 50 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
6-3,Combo Grande - 500 Capas Capa Samsung A20 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
7,Combo Pequeno - 5 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
7-2,Combo Médio - 50 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
7-3,Combo Grande - 500 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
8,Combo Pequeno - 5 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
8-2,Combo Médio - 50 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
8-3,Combo Grande - 500 Capas Capa Samsung A04 E - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
9,Combo Pequeno - 5 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
9-2,Combo Médio - 50 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
9-3,Combo Grande - 500 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
10,Combo Pequeno - 5 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
10-2,Combo Médio - 50 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
10-3,Combo Grande - 500 Capas Capa Samsung A03 Core - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
11,Combo Pequeno - 5 Capas Capa Moto G73 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
11-2,Combo Médio - 50 Capas Capa Moto G73 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
11-3,Combo Grande - 500 Capas Capa Moto G73 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
12,Combo Pequeno - 5 Capas Capa Moto G10 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
12-2,Combo Médio - 50 Capas Capa Moto G10 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
12-3,Combo Grande - 500 Capas Capa Moto G10 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
13,Combo Pequeno - 5 Capas Capa Moto E13 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
